wallet_address,farmer_score,priority_tier,wallet_age_days,tx_count_before_first_inflow,token_type_diversity,inflow_to_outflow_hours,shared_funder_score,inter_tx_time_variance,unique_counterparty_count
0xc4fc50f53118f8b95006a4cd87ad6b703b64fd59,1.0,deprioritize,1324.1309749329641,6.0,43.0,0.006666666666666667,3.4339872044851463,17008676130622.027,66.0
0x67d6140fda661346ad4785f35412aa43fa3224b1,0.0,normal,1541.8293661423966,0.0,118.0,0.02,2.6390573296152584,754080832560.1375,203.0
0x51972e96e65bb3f5dc07787d0a90342620dd4453,0.0,normal,1708.2611023255079,1.0,121.0,0.0,4.02535169073515,439868966213.7022,307.0
0x71ecbf3ff2d212f6930c5fd0837a38edf9aab28d,1.0,deprioritize,1698.004053816042,2.0,21.0,0.013333333333333334,3.1354942159291497,18920253873768.28,50.0
0xd5ba25f7f80c2daca180e63acd0806b6b4e5423b,0.0,normal,2119.5267158551046,12.0,47.0,0.0,0.0,11335612369796.957,113.0
0x9ebd2252f08856d64b5da99ead8252d7b6ab4392,1.0,deprioritize,1669.9856857709367,2.0,21.0,0.01,3.1354942159291497,23814044876671.074,50.0
0x6bd986905130adb87f8e6d946b3bbd46f8527c8e,0.0002,normal,1669.9409288285756,1.0,23.0,0.013333333333333334,0.0,19145350438138.28,46.0
0xbaf5eb33f2efc66830ac88b0e6a1c6dd251221fc,0.0103,normal,2132.0208478121654,1.0,17.0,0.02722222222222222,3.4339872044851463,1791890625721.6123,40.0
0x11e6ac97c934e4575aa69e2ce52abb7a6aeb4aec,0.0001,normal,1914.9687876299768,3.0,49.0,0.0,1.0986122886681098,3524556443672.5645,119.0
0x42aa1ac72ff608610ec506f3cccd4ac394f2705e,0.0,normal,853.4395862518057,1.0,171.0,0.0,2.4849066497880004,76332580533.32166,210.0
0x385fb0a1285d5239716203e80d03e77dfb4ce5f1,0.0,normal,2187.097260046494,0.0,132.0,0.0,2.70805020110221,92154152987.14813,220.0
0xfdfec1cbc5a10fc8f69c08af8d91ea3b5190b5e6,0.0005,normal,2139.6231051221516,0.0,86.0,0.0,2.302585092994046,2116563620726.2253,123.0
0x689c44e0f4d91aabd7d66b23b29032b665e99b4b,0.0,normal,2182.050836631609,0.0,138.0,0.0,0.0,1458444175445.1455,246.0
0x16f4c1b128a30c631f9f5332b9f80154a033a109,0.0,normal,877.869447869722,14.0,17.0,0.01,0.0,1982113283593.1338,67.0
0x024d41e5f24b465af788c624fa202ddbf50e6888,1.0,deprioritize,1708.260211760752,2.0,25.0,0.016666666666666666,4.02535169073515,9323786484923.049,61.0
0x3b7a7674a43936e9f0d4aa98bc73f990cd726029,0.0,normal,3217.3440312080334,3.0,237.0,0.0,0.0,573360439208.7611,602.0
0xea611e681b294c2e2137ef14b782a9e80cc6a44f,0.0,normal,2299.9032675518756,0.0,203.0,0.0,0.0,205860179456.38223,435.0
0x1d393fe74f1e04244eb258e93b7a74fd67790e7f,1.0,deprioritize,1713.1794945673507,1.0,27.0,0.013333333333333334,4.02535169073515,8577622380608.793,58.0
0x64e7462846ecf2e1577f899cc34b76fed6425960,0.0,normal,487.05778160744245,40.0,15.0,0.0,0.0,535464928193.4304,46.0
0x45e48d205bccb44a1132f3afadeccc33121d7918,0.9998,deprioritize,1716.2108950356255,1.0,29.0,0.01,4.02535169073515,6702696786568.957,65.0
0x724ddef3334ee466185647d457b63452ad1d35d8,0.0,normal,1109.0795871688067,6.0,81.0,0.006666666666666667,2.772588722239781,294943735984.03955,162.0
0xa0bec59a3cbeb0eca17c3e21382562d995286c34,0.3996,normal,2125.521508495394,0.0,65.0,0.0,2.70805020110221,1145446607790.6206,96.0
0xa7abbf2a689762a8121ea6e151ab539dd6a6f18d,0.0,normal,1509.6766242637264,7.0,49.0,0.023333333333333334,3.4339872044851463,1312631040935.5022,153.0
0x595666db0a490c080f9be61dd6cc99d39674a2f4,0.0007,normal,282.17417056604114,0.0,9.0,0.09,0.0,3088136328618.273,22.0
0xa6e8e9d5e86664b00e48a88f1602ef905c1492c1,0.0,normal,1453.4667400118294,7.0,37.0,0.04666666666666667,0.0,1071854398284.8242,119.0
0x51a84e8b8111bfade4c478836e9f58e85b333999,0.0,normal,1851.6948997393415,1.0,20.0,0.02666666666666667,0.0,11176086183205.715,48.0
0x760f755d7e14b1cbfff86fe705101f0a19a58097,0.0,normal,2914.302642797535,0.0,81.0,0.023333333333333334,0.0,9751561865442.533,250.0
